job_id,change_status,last_changed_at,update_count,is_active,recommendation,application_priority_score,door_score,landing_score,career_score,relevance_score,qualification_score,urgency_score,application_friction_score,eligibility_confidence,remote_confidence,source_confidence,extraction_confidence,title,company,location_raw,salary_text,posted_at,posting_status,application_deadline,normalized_title_family,career_lane,search_profile,resume_variant,remote_gate,employment_type,employment_class,employment_reason,source_verification,source_verification_reason,canonical_verified,recall_reason,travel_percent,timezone_requirement,work_auth_gate,work_authorization_requirement,salary_annual_mid,canonical_source_site,canonical_url,apply_url,application_status,notes,first_seen,last_seen
JC2D696F094AD9D,NEW,2026-09-07T19:10:13+00:00,0,1,REVIEW_EMPLOYMENT,70.4,76.0,76.8,74.0,100.0,90.0,40.0,85.0,81.2,40.0,94.0,95.0,Patient Access Specialist,Syneos Health Commercial Solutions,Remote,,,unknown,,patient access specialist,healthcare_access,P0-healthcare-operations-access,enrollment_operations,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: patient + specialist,30.0,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4451499761/,https://www.linkedin.com/jobs/view/4451499761/,new,,2026-09-07T19:10:13+00:00,2026-09-07T19:10:13+00:00
J96A805588CF7F2,NEW,2026-09-07T19:10:08+00:00,0,1,REVIEW_EMPLOYMENT,69.7,75.0,74.6,76.0,96.5,82.0,40.0,85.0,78.4,40.0,94.0,95.0,Principal Consultant - Health Information Management,Oracle,Remote,,,unknown,,health information specialist,healthcare_access,P0-health-information-quality-access,healthcare_qa,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,specific workflow title: health information,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4413603288/,https://www.linkedin.com/jobs/view/4413603288/,new,,2026-09-07T19:10:08+00:00,2026-09-07T19:24:17+00:00
J75C69C5F07140C,NEW,2026-09-07T19:09:52+00:00,0,1,REVIEW_EMPLOYMENT,69.7,75.0,74.6,76.0,96.5,82.0,40.0,85.0,78.4,40.0,94.0,95.0,Staff Consultant - Health Information Management,Oracle,Remote,,,unknown,,health information specialist,healthcare_access,P0-health-information-quality-access,healthcare_qa,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,specific workflow title: health information,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4450828814/,https://www.linkedin.com/jobs/view/4450828814/,new,,2026-09-07T19:09:52+00:00,2026-09-07T19:09:52+00:00
JF4077059274971,NEW,2026-09-07T18:56:01+00:00,0,1,REVIEW_EMPLOYMENT,67.0,71.3,73.2,67.0,96.5,80.0,40.0,85.0,70.4,40.0,94.0,65.0,Program Manager IV - Clinical Technology Operations,Centene Corporation,Remote,,,unknown,,clinical operations specialist,healthcare_access,P0-healthcare-operations-access,enrollment_operations,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: clinical + operations,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4464309900/,https://www.linkedin.com/jobs/view/4464309900/,new,,2026-09-07T18:56:01+00:00,2026-09-07T18:56:01+00:00
J26A304CB8AFE4E,NEW,2026-09-07T19:09:46+00:00,0,1,VERIFY_SOURCE,66.2,70.2,66.0,80.0,96.5,67.0,40.0,85.0,84.1,78.0,94.0,95.0,Quality Specialist - Patient Access-28718,Rush University Medical Center,Remote,,,unknown,,patient access specialist,healthcare_access,P0-healthcare-operations-access,enrollment_operations,pass,,full_time_employee,full-time role; no contractor marker detected,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: patient + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4454582434/,https://www.linkedin.com/jobs/view/4454582434/,new,,2026-09-07T19:09:46+00:00,2026-09-07T19:09:46+00:00
J8C5E08AE05082A,UPDATED,2026-09-07T19:09:21+00:00,1,1,REVIEW_EMPLOYMENT,65.7,69.5,70.2,68.0,100.0,78.0,40.0,85.0,87.8,78.0,94.0,95.0,Associate Clinical Implementation Specialist (Remote),Stryker,Remote,,,unknown,,implementation specialist,transferable_operations,P1-transferable-operations,enrollment_operations,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: clinical + specialist,80.0,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462381045/,https://www.linkedin.com/jobs/view/4462381045/,new,,2026-09-07T19:08:09+00:00,2026-09-07T19:25:21+00:00
J9CF8AF16279217,NEW,2026-09-07T19:06:58+00:00,0,1,SKIP_HARD_GATE,65.3,68.9,70.2,66.0,93.5,78.0,40.0,85.0,86.1,78.0,94.0,95.0,Admissions Services Specialist Acute,Acadia Healthcare,Remote,,,unknown,,admissions specialist,higher_ed_edtech_hedge,P2-higher-ed-edtech,higher_ed_records,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,higher-ed workflow title,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4384741222/,https://www.linkedin.com/jobs/view/4384741222/,new,,2026-09-07T19:06:58+00:00,2026-09-07T19:06:58+00:00
J6BD2E8E3893ACA,NEW,2026-09-07T18:57:08+00:00,0,1,REVIEW_EMPLOYMENT,63.5,66.4,64.8,70.0,95.0,68.0,40.0,85.0,67.0,40.0,94.0,65.0,Practice Manager - Implementation Services (Remote),Veeva Systems,Remote,,,unknown,,implementation specialist,transferable_operations,P1-transferable-operations,enrollment_operations,review,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4444327309/,https://www.linkedin.com/jobs/view/4444327309/,new,,2026-09-07T18:57:08+00:00,2026-09-07T18:57:08+00:00
J8C89691B1B8CD8,NEW,2026-09-07T19:24:15+00:00,0,1,REVIEW_EMPLOYMENT,44.0,39.3,20.1,84.0,96.5,0.0,40.0,85.0,72.4,98.0,94.0,95.0,Lead Healthcare Integration Specialist,TimeDoc Health,Remote,,,unknown,,healthcare coordinator,healthcare_access,P0-healthcare-operations-access,enrollment_operations,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,healthcare/access title signals: healthcare + specialist,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4446810734/,https://www.linkedin.com/jobs/view/4446810734/,new,,2026-09-07T19:24:15+00:00,2026-09-07T19:24:15+00:00
J9367119A3E80C3,NEW,2026-09-07T19:25:36+00:00,0,1,OUT_OF_SCOPE,0.0,0.0,0.0,0.0,0.0,0.0,40.0,85.0,0.0,98.0,94.0,95.0,"Medical Director, Clinical Informatics (Remote)",Ladders,Remote,,,unknown,,,,,,pass,,unknown,employment arrangement not explicit enough,assisted_board,user-assisted board capture; canonical employer verification still recommended,0,no recall-stage title archetype,,,unknown,,,linkedin,https://www.linkedin.com/jobs/view/4462800477/,https://www.linkedin.com/jobs/view/4462800477/,new,,2026-09-07T19:25:36+00:00,2026-09-07T19:25:36+00:00
